,source,MT,emotion_labels,error_types,error_severity
110,宝贝563天，今晚给秦王洗澡🛀🏻的时候，秦王硬是要自己洗，自己洗头，自己洗脸，自己洗哦！爸比惊倒在浴室,"Baby 563 days, when I gave Qin Wang a bath tonight🛀🏻, Qin Wang insisted on washing his own hair, washing his face, washing his own! Daddy freaks out in the bathroom",surprise,Mistranslation,Somewhere in between
111,白宝宝很心塞得看了一晚上别人秀恩爱朕不高兴了，哪个爱妃谁陪朕秀一个,Bai Baobao was so heartbroken that I watched other people show affection for one night. I was not happy. Which concubine would accompany me to show one?,sadness,None,Not at all
112,微博是傻了吧刷新的第一条竟然是17号的内容,Weibo is stupid,surprise,Omission,Yes absolutely
113,每天都有蚊子每天都有蚊子每天晚上都有蚊子,Mosquitoes every day Mosquitoes every day Mosquitoes every night,anger,None,Not at all
114,这老师头发短，还少，最关键的见识也tm短，大哥上学这么多年，你是第一个称呼我岳天伦的,"This teacher has short hair and few, and the most crucial knowledge is also short. Big brother has been in school for so many years, you are the first to call me Yue Tianlun",anger,Mistranslation,Yes absolutely
115,昨天下午突然感冒了，今天下午又把手划破了,I suddenly caught a cold yesterday afternoon and cut my hand again this afternoon,sadness,None,Not at all
116,最后一个，真的常常想如果变成了那样的人是多可怕的一件事，想想都觉得超恐怖！！！,"The last one, I really often think about how terrible it would be to become such a person, I feel super scary just thinking about it! ! !",fear,None,Not at all
117,拿着粥从泰山厅冲出来在小路上一不小心差点摔个狗吃屎生无可恋每次走平地都能被绊什么鬼！！！,I rushed out of the Taishan Hall with porridge and almost fell into a dog and ate shit on the small road. ! !,anger,Mistranslation; Omission,Yes absolutely; Yes absolutely
118,一看到有人称彭某为国母，心里特别恶心，要吐的感觉。,"When I saw someone calling Peng the mother of the country, I felt very sick and felt like vomiting.",anger,None,Not at all
119,"早上我从拿着雨伞走到客厅,小娃儿在家门口陪小兔子聊天.他看到我站那折雨伞,着急的说:""妈妈你快出去吧,电梯都来哒,等下你迟到了,老板会骂你的.""这些话,他是一气呵成的.","In the morning, I walked to the living room with an umbrella, and the little baby chatted with the little rabbit at the door of the house. When he saw me standing there folding the umbrella, he said anxiously: ""Mom, go out quickly, the elevator is coming, wait for you to be late. , the boss will scold you."" He said these words in one go.",surprise,None,Not at all
120,噩梦吓醒，好烦这种状态，突然觉得自己就委屈起来了,"Waking up from a nightmare, so annoying, I suddenly feel wronged",sadness,None,Not at all
121,真的！他不爱你！别想了！！！！他都用行动证明了一切！爱你他会不找你不理你吗？别傻了！！够了！,real! He does not love you! Forget it! ! ! ! He has proven everything with his actions! Will he ignore you if he loves you? Do not be silly! ! enough!,anger,None,Not at all
122,还是大沈阳比较养人，一来这就脾气超暴躁！火星儿火苗儿的都离我远点,"It's still more supportive in Shenyang, and it's super grumpy when it comes! All the sparks and flames stay away from me",anger,Mistranslation,Somewhere in between
123,背背背背考考考考背考背考我要疯啦，现在看见字就想吐😱😱,"Back to back, back to back, back to back, back to back, back to back, back to back, back to back, back to back, back to back, I'm going crazy, and now I feel like throwing up when I see the words😱😱",anger,None,Not at all
124,高三就是搞不定的学生，写不完的题，判卷不完的卷子，上不完的课以及做不完的总结如今还加了一条，弄不完的材料真想一醉不醒,"The third year of high school is a student who can't handle it. There are endless questions to write, papers that can't be judged, lessons that can't be completed, and summaries that can't be done.",sadness,Omission,Yes absolutely
125,北京这霾一拍照感觉都能看到颗粒啦,The haze in Beijing feels like you can see particles when you take a picture.,anger,None,Not at all
126,不得不吐槽下，如此坑爹的路线，弄得我围着山转了一圈,"I have to complain, such a pitiful route made me go around the mountain",anger,None,Not at all
127,"骗子的技术越来越高了…,，放长线钓大鱼，此人是骗子，已报警！！！！！大家小心啊啊","The liar's skills are getting higher and higher...,, set a long line to catch big fish, this person is a liar, and the police have been reported! ! ! ! ! Be careful everyone",anger,None,Not at all
128,啊啊啊啊啊啊，一看电视剧就过头了，赶紧睡觉几个小时后就要起床了,Aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaan,sadness,Mistranslation; Omission,Slightly; Yes absolutely
129,诸事不顺，连耳机都开启了卡拉ok伴奏模式……,"Everything is not going well, even the headphones have turned on the karaoke accompaniment mode...",anger,None,Not at all
130,有点职位就假惺惺，了不起。做人请不要太恶心！,"A bit of a position is fake, which is amazing. Please don't be too disgusting!",anger,Mistranslation,Somewhere in between
131,外面下着大雨，家里却什么吃的都没有，我想吃好吃的,"It's raining heavily outside, but I don't have anything to eat at home, I want to eat delicious food",sadness,None,Not at all
132,你不懂的情调就不要评价别人奇怪那只是因为你不懂而已😃,"If you don't understand the sentiment, don't judge others as strange, it's just because you don't understand it😃",anger,None,Not at all
133,今天去一家餐厅吃饭听说店里面的服务员都是坐牢后出来的,I went to a restaurant for dinner today and heard that all the waiters in the restaurant came out after being imprisoned.,surprise,Mistranslation,Somewhere in between
134,我讲在医院守人累，居然讲你又没做什么，我做的时候你看见啊？这种能聊天？遇到此情商如此低的人也是心里面飘过一千万个我艹你麻痹我艹你麻痹,"I told you that it was tiring to guard people in the hospital, but I said you didn't do anything. Did you see it when I was doing it? Can this chat? When I meet this person with such a low EQ, there are ten million floating in my heart. I fuck you paralyze me fuck you paralyze",anger,Mistranslation,Slightly
135,今天居然是13号逢周五，这是不是所谓的黑色星期五,"Today is actually Friday the 13th, is this the so-called Black Friday?",surprise,None,Not at all
136,世界上最遥远的距离就是断网…最可怕的事情就是看着不会弄……,The furthest distance in the world is the disconnection of the internet... The most terrifying thing is that it doesn't seem to work...,sadness,None,Not at all
137,好饿～～好想吃！吃！吃！(=ｘェｘ=),I'm so hungry~~ I want to eat! eat! eat! (=xェx=),joy,None,Not at all
138,真心想扔东西。先是昨天宝宝在图书馆七层东上完厕所准备开门出来，一个男的抱着一个女的撞开了厕所的门，宝宝特别生气地骂了一句，有病啊。当时宝宝特别想往他俩身上砸两块钱，但是宝宝没带钱。今晚到图书馆吧，我都走到自己位置了，那男的以为我只是路过，搬了我的凳子坐。能不缺德吗，同学？,"I really want to throw things away. First, yesterday, the baby was going to the toilet on the seventh floor east of the library and was about to open the door. A man hugged a woman and slammed open the door of the toilet. The baby cursed angrily, ""I'm sick."" At that time, the baby especially wanted to throw two dollars on them, but the baby did not bring any money. Let's go to the library tonight, I have already walked to my place, the man thought I was just passing by and moved my stool to sit. Can you be virtuous, classmate?",anger,Mistranslation; Mistranslation,Somewhere in between; Somewhere in between
